JUGADORJUGADOR,EQUIPOEQUIPO,JJ,TBTB,CC,HH,2B2B,3B3B,HRHR,CICI,BBBB,PP,BRBR,ARAR,PROPRO,OBPOBP,SLGSLG,OPSOPS
Cornelius RandolphCF,Tigres,27,100,13,29,6,0,3,10,10,24,1,1,0.29,0.36,0.44,0.8
HernÃ¡n PÃ©rez1B,Toros,26,90,18,26,5,1,3,12,17,25,3,1,0.29,0.4,0.47,0.87
Josh StowersCF,Algodoneros,25,94,17,27,5,0,4,19,12,17,3,2,0.29,0.36,0.47,0.83
Nomar MazaraRF,El Aguila,28,101,16,29,7,0,3,16,14,21,0,0,0.29,0.37,0.45,0.82
SÃ­mon MuzziottiRF,Pericos,24,77,15,22,3,1,2,14,3,12,3,0,0.29,0.31,0.43,0.74
Leonys MartinCF,Conspiradores,24,95,18,27,7,0,4,17,16,27,2,2,0.28,0.4,0.48,0.88
Jack MayfieldSS,Toros,23,81,11,23,4,0,2,15,11,14,4,1,0.28,0.38,0.41,0.78
Carlos PegueroRF,Conspiradores,22,74,14,21,4,1,2,11,14,29,0,0,0.28,0.4,0.45,0.84
Samar Leyva2B,Pericos,21,67,14,19,5,0,3,12,6,4,0,0,0.28,0.37,0.49,0.86
Zoilo AlmonteDH,Sultanes,26,103,13,29,6,0,5,15,7,23,1,0,0.28,0.33,0.49,0.82
Alex D. Mejia3B,Saraperos,24,82,8,23,1,0,2,12,6,12,0,2,0.28,0.35,0.37,0.71
Isan DÃ­az2B,Algodoneros,28,100,25,28,3,2,8,25,16,23,1,2,0.28,0.39,0.59,0.98
Kyle GarlickDH,Charros,28,100,19,28,4,1,3,20,18,30,4,0,0.28,0.4,0.43,0.83
Matt McDermott2B,Dorados,27,93,14,26,6,1,0,11,9,30,4,3,0.28,0.34,0.37,0.71
Rainel RosarioLF,Dorados,20,62,7,17,4,1,3,10,12,18,0,1,0.27,0.4,0.52,0.92
Juan SantanaDH,Pericos,22,81,11,22,5,2,2,21,6,12,1,0,0.27,0.32,0.46,0.77
Francisco ArciaC,Tecos,21,63,12,17,3,0,1,9,13,12,0,0,0.27,0.42,0.37,0.78
Henry Urrutia1B,Bravos,27,104,18,28,13,0,4,17,16,23,0,0,0.27,0.37,0.51,0.88
Carlos SantiagoSS,El Aguila,25,86,15,23,7,0,1,13,6,21,3,0,0.27,0.31,0.38,0.69
Connor Panas1B,Piratas,27,90,16,24,6,0,3,16,20,17,3,1,0.27,0.41,0.43,0.85
Manuel Boscan3B,Caliente,28,98,13,26,2,0,4,21,16,22,0,2,0.27,0.38,0.41,0.79
Mateo Gil3B,Charros,26,98,18,26,4,0,3,19,11,28,5,1,0.27,0.34,0.4,0.73
Dwight Smith Jr.RF,Charros,28,92,16,24,4,0,4,22,21,18,2,5,0.26,0.4,0.44,0.84
Drew Lugbauer1B,Caliente,22,73,16,19,5,0,3,10,17,29,0,0,0.26,0.4,0.45,0.85
Jimmy KerriganCF,Bravos,28,104,17,27,7,0,8,18,9,27,6,0,0.26,0.35,0.56,0.91
Aristides AquinoRF,Diablos Rojos,23,89,27,23,2,2,5,15,10,25,9,1,0.26,0.34,0.49,0.83
Ali Castillo2B,Tecos,27,120,22,31,5,0,1,15,8,11,1,0,0.26,0.31,0.33,0.63
Jacob RhinesmithCF,Dorados,26,93,13,24,2,1,1,13,9,16,6,1,0.26,0.32,0.33,0.65
Willie CalhounDH,Tigres,21,70,11,18,4,0,3,13,11,8,2,0,0.26,0.36,0.44,0.8
Danry VasquezDH,Tecos,24,82,19,21,3,1,3,15,14,14,3,1,0.26,0.37,0.43,0.8
Isaac Rodriguez2B,Toros,27,91,14,23,7,0,1,9,10,15,6,4,0.25,0.35,0.36,0.71
Art Charles1B,Leones,28,92,20,23,4,0,8,19,25,37,0,0,0.25,0.41,0.55,0.96
RamÃ³n FloresCF,Diablos Rojos,18,70,9,17,2,2,3,16,6,12,0,1,0.24,0.31,0.46,0.77
Andrelton SimmonsSS,Dorados,25,84,14,20,5,0,1,11,10,8,3,0,0.24,0.32,0.33,0.65
Norberto ObesoLF,Leones,25,102,16,24,7,0,1,4,10,15,0,0,0.24,0.31,0.33,0.64
Melvin MercedesSS,Tigres,22,69,10,16,3,0,1,6,6,16,1,3,0.23,0.31,0.32,0.63
Jermaine PalaciosSS,Bravos,27,109,19,24,5,1,5,14,8,22,4,0,0.22,0.28,0.42,0.7
Donovan CaseyRF,Sultanes,24,91,15,20,3,2,2,6,8,22,7,1,0.22,0.29,0.36,0.65
Alfredo Lopez2B,Caliente,24,80,19,17,1,0,1,8,6,12,6,2,0.21,0.3,0.26,0.56
Drew Stankiewicz3B,Charros,19,66,10,14,2,0,0,3,11,26,2,2,0.21,0.33,0.24,0.57
Christopher EscarregaC,Sultanes,23,76,8,16,1,0,1,10,4,22,0,0,0.21,0.27,0.26,0.53
Joshua Fuentes3B,Leones,27,91,9,19,3,0,1,5,9,27,0,0,0.21,0.29,0.28,0.56
Jose MartinezSS,Tecos,25,82,12,17,4,0,0,13,11,16,0,1,0.21,0.29,0.26,0.55
Luis JuarezDH,Leones,22,79,11,16,1,0,7,17,6,13,0,0,0.2,0.26,0.48,0.74
Danny OrtizRF,Toros,25,92,12,18,5,0,3,14,10,34,0,0,0.2,0.28,0.35,0.62
Aldo Nunez2B,Acereros,23,68,8,13,1,0,2,9,6,15,2,2,0.19,0.26,0.29,0.55
Edwin GarciaSS,Caliente,22,70,7,13,1,0,0,4,11,10,1,1,0.19,0.3,0.2,0.5
Leo HerasCF,Olmecas,20,61,9,11,3,1,0,9,16,19,3,2,0.18,0.35,0.26,0.62
Aldrem Corredor1B,Acereros,28,87,12,15,4,0,2,9,20,17,0,0,0.17,0.33,0.29,0.62
